ReviewText,StarRating,Label
Absolutely awful. This restaurant ruined my entire week. Don't go there.,2,Fake
"If you're looking for quality and service, this pet store is definitely worth a visit.",4,Real
Super excellent and amazing beyond words. This restaurant deserves a million stars!,1,Fake
Absolutely awful. This dentist ruined my entire week. Don't go there.,2,Fake
Super excellent and amazing beyond words. This bar deserves a million stars!,1,Fake
Absolutely awful. This salon ruined my entire week. Don't go there.,5,Fake
Super excellent and amazing beyond words. This salon deserves a million stars!,1,Fake
"I've been visiting this bakery for a while now, and they've never disappointed me.",5,Real
Great atmosphere and excellent food at this restaurant. Highly recommend it to anyone in the area.,5,Real
I had a wonderful experience at this salon. The staff were friendly and the service was top-notch.,5,Real
Super excellent and amazing beyond words. This bar deserves a million stars!,2,Fake
I had a wonderful experience at this dentist. The staff were friendly and the service was top-notch.,5,Real
"If you're looking for quality and service, this gym is definitely worth a visit.",5,Real
Absolutely awful. This bookstore ruined my entire week. Don't go there.,1,Fake
"I've been visiting this bar for a while now, and they've never disappointed me.",4,Real
Absolutely awful. This restaurant ruined my entire week. Don't go there.,1,Fake
I had a wonderful experience at this cafe. The staff were friendly and the service was top-notch.,5,Real
Super excellent and amazing beyond words. This bookstore deserves a million stars!,1,Fake
Great atmosphere and excellent food at this bar. Highly recommend it to anyone in the area.,5,Real
Terrible gym. Worst experience of my life. Avoid at all costs!!!,5,Fake
"Clean, professional, and welcoming. This dentist is one of the best I've been to.",5,Real
"I've been visiting this salon for a while now, and they've never disappointed me.",4,Real
"I've been visiting this bar for a while now, and they've never disappointed me.",4,Real
"Clean, professional, and welcoming. This bookstore is one of the best I've been to.",5,Real
Great atmosphere and excellent food at this dentist. Highly recommend it to anyone in the area.,5,Real
Absolutely awful. This dentist ruined my entire week. Don't go there.,5,Fake
Terrible clothing store. Worst experience of my life. Avoid at all costs!!!,2,Fake
Super excellent and amazing beyond words. This clothing store deserves a million stars!,2,Fake
I can't express how amazing this pet store is. It changed my life completely.,2,Fake
"If you're looking for quality and service, this bookstore is definitely worth a visit.",4,Real
"If you're looking for quality and service, this restaurant is definitely worth a visit.",5,Real
"If you're looking for quality and service, this gym is definitely worth a visit.",5,Real
"I've been visiting this bookstore for a while now, and they've never disappointed me.",5,Real
"If you're looking for quality and service, this dentist is definitely worth a visit.",5,Real
Great atmosphere and excellent food at this dentist. Highly recommend it to anyone in the area.,4,Real
"I've been visiting this restaurant for a while now, and they've never disappointed me.",5,Real
Terrible gym. Worst experience of my life. Avoid at all costs!!!,2,Fake
Absolutely awful. This bookstore ruined my entire week. Don't go there.,2,Fake
Best restaurant ever! Loved it so much!!! Will come every single day!!!,5,Fake
"Clean, professional, and welcoming. This clothing store is one of the best I've been to.",4,Real
Best restaurant ever! Loved it so much!!! Will come every single day!!!,5,Fake
Super excellent and amazing beyond words. This bookstore deserves a million stars!,1,Fake
Absolutely awful. This bar ruined my entire week. Don't go there.,1,Fake
Terrible bar. Worst experience of my life. Avoid at all costs!!!,2,Fake
"I've been visiting this pet store for a while now, and they've never disappointed me.",5,Real
Great atmosphere and excellent food at this restaurant. Highly recommend it to anyone in the area.,5,Real
I can't express how amazing this pet store is. It changed my life completely.,1,Fake
Absolutely awful. This restaurant ruined my entire week. Don't go there.,1,Fake
"If you're looking for quality and service, this pet store is definitely worth a visit.",4,Real
"Clean, professional, and welcoming. This clothing store is one of the best I've been to.",4,Real
Absolutely awful. This gym ruined my entire week. Don't go there.,1,Fake
"I've been visiting this cafe for a while now, and they've never disappointed me.",4,Real
I can't express how amazing this bakery is. It changed my life completely.,5,Fake
